"state","biden_polls","trump_polls","biden_poll_lead","e_votes","trump_pct","biden_pct","biden_lead"
"Alabama",38.01084,57.47271,-19.46187,9,63.144336722713,36.855663277287,-26.2886734454259
"Alaska",43.33035,50.93803,-7.60767999999999,3,65.5627574509329,34.4372425490671,-31.1255149018658
"Arizona",48.61913,45.6875,2.93163,11,48.8086577950954,51.1913422049046,2.38268440980917
"Arkansas",36.14957,58.42439,-22.27482,6,64.5086816982067,35.4913183017933,-29.0173633964133
"California",61.22292,33.08739,28.13553,55,33.4927052419588,66.5072947580412,33.0145895160825
"Colorado",53.4026,41.07908,12.32352,9,43.1624756953669,56.8375243046331,13.6750486092661
"Connecticut",56.81459,31.70934,25.10525,7,40.4577902314006,59.5422097685994,19.0844195371988
"Delaware",58.39132,34.35051,24.04081,3,40.3532221883461,59.6467778116539,19.2935556233077
"District of Columbia",89.72102,6.50747,83.21355,3,5.6810920193127,94.3189079806873,88.6378159613746
"Florida",48.85654,46.48158,2.37496,29,51.7267899467567,48.2732100532433,-3.45357989351348
"Georgia",48.42184,47.0595,1.36234,16,50.191334902541,49.808665097459,-0.38266980508196
"Hawaii",63.87685,29.64014,34.23671,4,34.9574327351868,65.0425672648132,30.0851345296264
"Idaho",37.76404,56.66391,-18.89987,4,65.725731644406,34.274268355594,-31.4514632888121
"Illinois",54.99063,39.51148,15.47915,20,43.6956725023821,56.3043274976179,12.6086549952359
"Indiana",42.10878,51.73095,-9.62217,11,59.9035154432046,40.0964845567954,-19.8070308864093
"Iowa",46.05451,47.49776,-1.44325,6,54.1936232837453,45.8063767162547,-8.38724656749051
"Kansas",41.5446,51.50967,-9.96507,6,57.986882274153,42.013117725847,-15.973764548306
"Kentucky",39.43832,55.06511,-15.62679,8,63.7682159972845,36.2317840027155,-27.536431994569
"Louisiana",36.60226,57.30472,-20.70246,8,59.4711045868013,40.5288954131987,-18.9422091736027
"Maine",53.70915,40.26422,13.44493,2,44.5352074806975,55.4647925193025,10.9295850386051
"Maryland",61.53797,31.57433,29.96364,10,35.7277615297136,64.2722384702864,28.5444769405728
"Massachusetts",65.34035,28.71039,36.62996,11,32.1532805904224,67.8467194095776,35.6934388191552
"ME-1",58.10416,37.55083,20.55333,1,NA,NA,NA
"ME-2",48.7765,45.61264,3.16386,1,NA,NA,NA
"Michigan",51.1079,43.0017,8.1062,16,48.7543511289341,51.2456488710659,2.49129774213188
"Minnesota",51.9934,42.60952,9.38388,10,46.3645739675623,53.6354260324377,7.27085206487536
"Mississippi",38.84844,55.25325,-16.40481,6,60.208615258143,39.791384741857,-20.417230516286
"Missouri",43.63264,50.86974,-7.2371,10,57.9364456198231,42.0635543801769,-15.8728912396462
"Montana",45.21831,50.04097,-4.82266,3,58.1917157195551,41.8082842804449,-16.3834314391103
"NE-1",44.54334,49.43902,-4.89568,1,NA,NA,NA
"NE-2",49.83177,45.28855,4.54322,1,NA,NA,NA
"NE-3",25.6,72.3,-46.7,1,NA,NA,NA
"Nebraska",42.49661,52.06277,-9.56616,2,60.0482460593166,39.9517539406834,-20.0964921186332
"Nevada",49.36202,44.38943,4.97259,6,49.6728855625624,50.3271144374376,0.654228874875201
"New Hampshire",53.76472,42.77796,10.98676,4,46.365546995928,53.634453004072,7.26890600814392
"New Jersey",58.529,37.58271,20.94629,14,38.6537541355645,61.3462458644355,22.692491728871
"New Mexico",53.64094,41.91315,11.72779,5,44.5885520257086,55.4114479742914,10.8228959485827
"New York",62.22987,32.81044,29.41943,29,40.9273395564526,59.0726604435474,18.1453208870948
"North Carolina",48.85096,46.94549,1.90547,15,50.7121759375354,49.2878240624646,-1.42435187507088
"North Dakota",38.69079,55.78315,-17.09236,3,67.1993913896508,32.8006086103492,-34.3987827793015
"Ohio",47.09342,47.42149,-0.328069999999997,18,54.1110454319511,45.8889545680489,-8.2220908639022
"Oklahoma",36.06351,58.70304,-22.63953,7,66.9358457296511,33.0641542703489,-33.8716914593022
"Oregon",57.38288,37.33525,20.04763,7,41.2971957267953,58.7028042732047,17.4056085464094
"Pennsylvania",50.30119,45.1281,5.17308999999999,20,51.3116343870402,48.6883656129598,-2.62326877408049
"Rhode Island",62.80529,31.8655,30.93979,4,39.7503397083578,60.2496602916422,20.4993205832843
"South Carolina",43.75486,51.07459,-7.31973,9,56.0983715930712,43.9016284069288,-12.1967431861425
"South Dakota",38.88825,53.61931,-14.73106,3,63.3079575358343,36.6920424641657,-26.6159150716686
"Tennessee",40.61647,53.94555,-13.32908,11,61.8834085218063,38.1165914781937,-23.7668170436127
"Texas",47.52274,48.4203,-0.897559999999999,38,52.9671101833624,47.0328898166376,-5.9342203667248
"Utah",41.61303,51.8602,-10.24717,6,60.5065973687239,39.4934026312761,-21.0131947374477
"Vermont",65.90262,27.85557,38.04705,3,32.8437167513891,67.1562832486109,34.3125664972219
"Virginia",53.48265,42.16699,11.31566,13,45.3452831286197,54.6547168713803,9.30943374276052
"Washington",58.48918,34.57267,23.91651,12,38.3957718196313,61.6042281803687,23.2084563607373
"West Virginia",34.07596,61.35433,-27.27837,5,69.8875292703649,30.1124707296351,-39.7750585407298
"Wisconsin",51.92082,43.61645,8.30437,10,49.6835138328064,50.3164861671936,0.632972334387162
"Wyoming",30.81175,62.02509,-31.21334,3,72.4654036645308,27.5345963354692,-44.9308073290617
